0	10	0	0.0	59	398
1	0	1	0.0	0	0
2	0	6	0.0	0	0
3	10	77	0.00828655439722	31	47
4	10	59	0.0187553282182	18	125
5	10	73	0.0484866294446	66	655
6	0	1	0.0	0	0
7	9	51	0.0525423728814	56	383
8	10	74	0.00717154331612	66	56
9	10	49	0.0490940970193	85	600
10	0	7	0.0	0	0
703	10	5	0.0380952380952	51	45
826	0	4	0.0	0	0
1097	0	7	0.0	0	0
1287	10	7	0.0	68	63
1591	0	12	0.0	0	0
1895	1	1	0.0	0	5
1896	10	5	0.0190476190476	30	58
1897	0	1	0.0	0	0
1898	0	3	0.0	0	0
1899	0	2	0.0	0	0
144	9	70	0.0334307043168	65	599
258	0	2	0.0	0	0
491	0	11	0.0	0	0
1021	0	11	0.0	0	0
1418	0	2	0.0	0	0
1669	9	4	0.0	41	34
1900	0	7	0.0	0	0
1901	0	6	0.0	0	0
1902	0	1	0.0	0	0
1903	0	11	0.0	0	0
121	0	54	0.0174703004892	0	0
127	10	85	0.0275475923852	68	440
128	0	50	0.014693877551	0	0
179	9	71	0.029746835443	79	472
247	10	60	0.0136645962733	10	33
249	8	82	0.0354556803995	59	270
264	10	81	0.0212454212454	76	159
353	10	70	0.0433544303797	65	701
424	9	83	0.00645007166746	10	48
426	0	19	0.0409356725146	0	0
145	9	81	0.0426966292135	57	471
176	9	66	0.0288288288288	59	284
177	9	70	0.0451152223304	66	662
753	9	14	0.0750988142292	66	605
754	0	52	0.027149321267	0	0
762	10	20	0.0390804597701	69	649
2064	0	5	0.1	0	0
3002	0	5	0.1	0	0
520	0	7	0.0	0	0
665	10	7	0.0367647058824	87	597
852	10	13	0.00790513833992	60	75
1394	10	2	0.0757575757576	69	646
1786	9	7	0.0333333333333	75	572
1842	10	11	0.0	46	35
1904	9	5	0.0769230769231	87	556
1905	0	1	0.0	0	0
1906	0	2	0.0	0	0
1907	8	1	0.111111111111	58	515
124	10	77	0.0368885324779	77	524
147	9	67	0.0417543859649	65	613
246	0	21	0.0285714285714	0	0
248	10	57	0.0153776571687	38	40
250	10	38	0.0195035460993	40	77
251	10	81	0.0148962148962	30	61
252	9	47	0.011038961039	9	36
11	10	4	0.021978021978	41	71
12	0	1	0.0	0	0
13	1	5	0.0	0	2
14	1	5	0.0	0	4
15	10	6	0.0666666666667	86	676
16	0	2	0.0	0	0
17	9	30	0.00674763832659	23	44
18	0	4	0.0	0	0
19	0	1	0.0	0	0
20	10	7	0.0220588235294	58	384
21	10	10	0.00526315789474	23	41
2074	0	2	0.0	0	0
809	0	4	0.0	0	0
123	10	87	0.0397336769759	93	664
129	10	61	0.00201207243461	40	58
143	10	71	0.0358024691358	55	555
367	8	86	0.0462136810798	59	532
427	10	81	0.0361416361416	68	408
718	8	32	0.0	39	37
1050	0	8	0.0	0	0
2254	0	10	0.0	0	0
2761	10	4	0.010989010989	64	57
3147	4	2	0.0	0	23
3169	0	6	0.0	0	0
3619	0	5	0.0	0	0
3893	9	3	0.030303030303	56	390
4408	0	4	0.0	0	0
4953	0	2	0.0	0	0
368	0	67	0.0126639529625	0	0
717	10	47	0.0288220551378	67	474
856	9	60	0.0375106564365	77	572
975	10	1	0.0	53	63
1908	0	1	0.0	0	0
1909	0	4	0.0	0	0
1910	10	2	0.0	29	50
92	2	13	0.0285714285714	0	12
1702	0	5	0.0	0	0
1711	1	5	0.0666666666667	0	2
1833	0	3	0.0	0	0
1916	0	4	0.0	0	0
1917	10	3	0.0128205128205	30	44
1918	0	2	0.0	0	0
1919	0	1	0.0	0	0
1920	10	3	0.0128205128205	50	64
1921	0	2	0.0	0	0
22	10	0	0.0	46	67
23	0	15	0.0	0	0
24	0	2	0.0	0	0
25	1	2	0.0	10	15
26	0	1	0.0	0	0
27	10	2	0.0	9	50
28	3	2	0.0	10	12
29	3	6	0.0	22	20
30	10	4	0.0989010989011	86	736
31	10	27	0.0135135135135	40	140
32	9	6	0.00952380952381	66	32
1022	10	15	0.00333333333333	60	52
901	0	4	0.0	0	0
960	0	5	0.0	0	0
1511	0	13	0.0	0	0
1624	0	3	0.0	0	0
1836	9	3	0.0	38	45
1911	0	2	0.0	0	0
1912	0	6	0.0	0	0
1913	0	5	0.0	0	0
1914	0	2	0.0	0	0
1915	0	7	0.0	0	0
846	10	3	0.0	11	54
1516	0	5	0.0	0	0
1517	0	4	0.0	0	0
962	10	9	0.0	42	27
1656	2	5	0.0	0	7
2201	10	6	0.0	10	62
126	10	73	0.0120481927711	29	282
174	10	62	0.0438184663537	85	646
637	10	9	0.0116959064327	31	43
870	0	14	0.010989010989	0	0
1219	0	8	0.0	0	0
1954	0	6	0.0	0	0
2237	10	6	0.0	58	79
2524	10	10	0.0	40	59
2630	0	5	0.0	0	0
3637	0	3	0.0	0	0
3874	0	2	0.0	0	0
957	0	2	0.0	0	0
1028	10	4	0.0	34	141
1199	10	10	0.0263157894737	70	635
1459	10	2	0.0151515151515	59	67
1699	9	3	0.0151515151515	29	49
1700	9	2	0.0	10	46
1701	9	2	0.0	41	42
1703	9	2	0.0	53	40
33	10	2	0.0	39	45
34	0	2	0.0	0	0
35	0	2	0.0	0	0
36	10	3	0.115384615385	95	757
37	0	1	0.0	0	0
38	9	21	0.00229885057471	10	48
39	10	2	0.0151515151515	46	48
40	0	1	0.0	0	0
41	0	5	0.0	0	0
42	0	2	0.0	0	0
43	10	6	0.0166666666667	28	43
725	0	11	0.0181818181818	0	0
1376	0	9	0.0	0	0
2002	0	5	0.0	0	0
2007	10	5	0.0190476190476	16	42
2167	0	3	0.0	0	0
2168	0	1	0.0	0	0
2169	0	3	0.0	0	0
2170	0	4	0.0	0	0
614	0	7	0.0	0	0
1378	0	4	0.0	0	0
1922	10	5	0.0	31	26
1923	10	7	0.0147058823529	50	61
1924	6	1	0.0	20	21
1925	0	2	0.0	0	0
1926	10	8	0.00653594771242	34	46
1927	0	1	0.0	0	0
1928	0	8	0.0	0	0
1929	10	5	0.114285714286	67	655
1604	0	4	0.0	0	0
1679	0	6	0.0666666666667	0	0
1930	10	3	0.0	37	37
1931	0	3	0.0	0	0
1932	9	1	0.0	1	58
1933	0	2	0.0	0	0
1934	9	3	0.121212121212	84	592
1935	0	3	0.0	0	0
1936	0	7	0.0	0	0
44	10	0	0.0	9	41
45	0	4	0.0	0	0
46	0	1	0.0	0	0
47	0	3	0.0	0	0
48	0	3	0.0	0	0
49	9	8	0.0147058823529	20	33
50	0	7	0.0	0	0
51	0	5	0.0	0	0
52	0	1	0.0	0	0
53	0	5	0.0	0	0
54	0	4	0.0	0	0
101	10	4	0.0879120879121	84	659
338	0	7	0.142857142857	0	0
2366	0	6	0.0	0	0
2893	0	3	0.333333333333	0	0
3065	0	2	0.0	0	0
